"zip","population","city","county"
"60191",14193,"Wood Dale","DuPage County"
"60130",14165,"Forest Park","Cook County"
"60088",14143,"Great Lakes","Lake County"
"60173",14067,"Schaumburg","Cook County"
"60410",13970,"Channahon","Will County"
"61605",13776,"Peoria","Peoria County"
"61071",13766,"Rock Falls","Whiteside County"
"60545",13704,"Plano","Kendall County"
"61764",13688,"Pontiac","Livingston County"
"60463",13687,"Palos Heights","Cook County"
"61443",13584,"Kewanee","Henry County"
"60033",13574,"Harvard","McHenry County"
"60558",13557,"Western Springs","Cook County"
"62206",13477,"East Saint Louis","St. Clair County"
"60526",13468,"La Grange Park","Cook County"
"61866",13442,"Rantoul","Champaign County"
"60712",13268,"Lincolnwood","Cook County"
"60471",13237,"Richton Park","Cook County"
"60442",13135,"Manhattan","Will County"
"61705",12746,"Bloomington","McLean County"
"62948",12679,"Herrin","Williamson County"
"62052",12625,"Jerseyville","Jersey County"
"60633",12440,"Chicago","Cook County"
"62450",12327,"Olney","Richland County"
"61548",12301,"Metamora","Woodford County"
"60152",12264,"Marengo","McHenry County"
"61254",12103,"Geneseo","Henry County"
"60950",12081,"Manteno","Kankakee County"
"60548",12040,"Sandwich","DeKalb County"
"60554",12029,"Sugar Grove","Kane County"
"60097",11865,"Wonder Lake","McHenry County"
"62946",11795,"Harrisburg","Saline County"
"60012",11736,"Crystal Lake","McHenry County"
"60501",11655,"Summit Argo","Cook County"
"60190",11652,"Winfield","DuPage County"
"60143",11645,"Itasca","DuPage County"
"60176",11600,"Schiller Park","Cook County"
"60305",11568,"River Forest","Cook County"
"61944",11562,"Paris","Edgar County"
"61525",11543,"Dunlap","Peoria County"
"60661",11513,"Chicago","Cook County"
"62812",11396,"Benton","Franklin County"
"60481",11303,"Wilmington","Will County"
"60428",11155,"Markham","Cook County"
"62010",11133,"Bethalto","Madison County"
"60482",11084,"Worth","Cook County"
"61072",11077,"Rockton","Winnebago County"
"60020",11051,"Fox Lake","Lake County"
"62881",10995,"Salem","Marion County"
"61356",10959,"Princeton","Bureau County"
"62896",10959,"West Frankfort","Franklin County"
"60119",10872,"Elburn","Kane County"
"61462",10855,"Monmouth","Warren County"
"62918",10844,"Carterville","Williamson County"
"62095",10801,"Wood River","Madison County"
"61080",10780,"South Beloit","Winnebago County"
"60418",10733,"Crestwood","Cook County"
"62960",10719,"Metropolis","Massac County"
"61065",10681,"Poplar Grove","Boone County"
"60534",10670,"Lyons","Cook County"
"62454",10604,"Robinson","Crawford County"
"62258",10572,"Mascoutah","St. Clair County"
"60171",10532,"River Grove","Cook County"
"61607",10522,"Peoria","Peoria County"
"61354",10422,"Peru","LaSalle County"
"61301",10380,"La Salle","LaSalle County"
"61523",10356,"Chillicothe","Peoria County"
"62471",10305,"Vandalia","Fayette County"
"62712",10275,"Springfield","Sangamon County"
"60044",10271,"Lake Bluff","Lake County"
"60475",10185,"Steger","Cook County"
"60523",10179,"Oak Brook","DuPage County"
"62246",10117,"Greenville","Bond County"
"60915",10081,"Bradley","Kankakee County"
"61264",9927,"Milan","Rock Island County"
"60464",9779,"Palos Park","Cook County"
"60422",9735,"Flossmoor","Cook County"
"60083",9699,"Wadsworth","Lake County"
"60514",9691,"Clarendon Hills","DuPage County"
"60449",9564,"Monee","Will County"
"62863",9519,"Mount Carmel","Wabash County"
"61727",9421,"Clinton","De Witt County"
"60416",9372,"Coal City","Grundy County"
"62024",9350,"East Alton","Madison County"
"60081",9194,"Spring Grove","McHenry County"
"62832",8986,"Du Quoin","Perry County"
"60041",8843,"Ingleside","Lake County"
"62056",8758,"Litchfield","Montgomery County"
"61874",8653,"Savoy","Champaign County"
"60425",8623,"Glenwood","Cook County"
"60069",8602,"Lincolnshire","Lake County"
"60042",8589,"Island Lake","Lake County"
"60022",8529,"Glencoe","Cook County"
"60136",8481,"Gilberts","Kane County"
"62062",8461,"Maryville","Madison County"
"61342",8389,"Mendota","LaSalle County"
"61856",8315,"Monticello","Piatt County"
"62837",8300,"Fairfield","Wayne County"
"61834",8281,"Danville","Vermilion County"
"61282",8234,"Silvis","Rock Island County"
"62233",8217,"Chester","Randolph County"
"60162",8213,"Hillside","Cook County"
"62049",8195,"Hillsboro","Montgomery County"
"60155",7965,"Broadview","Cook County"
"62274",7942,"Pinckneyville","Perry County"
"62626",7840,"Carlinville","Macoupin County"
"60401",7833,"Beecher","Will County"
"61951",7777,"Sullivan","Moultrie County"
"62707",7725,"Springfield","Sangamon County"
"62565",7590,"Shelbyville","Shelby County"
"61010",7399,"Byron","Ogle County"
"62618",7318,"Beardstown","Cass County"
"61606",7232,"Peoria","Peoria County"
"62906",7217,"Anna","Union County"
"61341",7196,"Marseilles","LaSalle County"
"61270",7096,"Morrison","Whiteside County"
"60135",7021,"Genoa","DeKalb County"
"62439",7005,"Lawrenceville","Lawrence County"
"62821",7005,"Carmi","White County"
"62557",7002,"Pana","Christian County"
"62441",6927,"Marshall","Clark County"
"62232",6920,"Caseyville","St. Clair County"
"61061",6880,"Oregon","Ogle County"
"61036",6796,"Galena","Jo Daviess County"
"61241",6775,"Colona","Henry County"
"62278",6692,"Red Bud","Monroe County"
"62549",6684,"Mt Zion","Macon County"
"62231",6680,"Carlyle","Clinton County"
"62012",6678,"Brighton","Jersey County"
"60096",6655,"Winthrop Harbor","Lake County"
"62207",6637,"East Saint Louis","St. Clair County"
"60484",6633,"University Park","Will County"
"61530",6614,"Eureka","Woodford County"
"62254",6586,"Lebanon","St. Clair County"
"62260",6461,"Millstadt","St. Clair County"
"62088",6439,"Staunton","Macoupin County"
"62995",6408,"Vienna","Johnson County"
"62230",6352,"Breese","Clinton County"
"61953",6305,"Tuscola","Douglas County"
"62839",6286,"Flora","Clay County"
"62243",6271,"Freeburg","St. Clair County"
"61088",6094,"Winnebago","Winnebago County"
"62203",6076,"East Saint Louis","St. Clair County"
"60970",6025,"Watseka","Iroquois County"
"62204",5908,"East Saint Louis","St. Clair County"
"61616",5890,"Peoria Heights","Peoria County"
"61240",5880,"Coal Valley","Rock Island County"
"62675",5877,"Petersburg","Menard County"
"61362",5855,"Spring Valley","Bureau County"
"61873",5811,"Saint Joseph","Champaign County"
"60468",5782,"Peotone","Will County"
"62563",5759,"Rochester","Sangamon County"
"62205",5754,"East Saint Louis","St. Clair County"
"60942",5717,"Hoopeston","Vermilion County"
"62681",5717,"Rushville","Schuyler County"
"62684",5669,"Sherman","Sangamon County"
"60957",5642,"Paxton","Ford County"
"62930",5630,"Eldorado","Saline County"
"60954",5612,"Momence","Kankakee County"
"62951",5574,"Johnston City","Williamson County"
"62615",5490,"Auburn","Sangamon County"
"61252",5424,"Fulton","Whiteside County"
"60469",5423,"Posen","Cook County"
"62448",5411,"Newton","Jasper County"
"62286",5372,"Sparta","Randolph County"
"62225",5359,"Scott Air Force Base","St. Clair County"
"60408",5307,"Braidwood","Will County"
"60480",5300,"Willow Springs","Cook County"
"62859",5283,"McLeansboro","Hamilton County"
"60163",5273,"Berkeley","Cook County"
"60040",5227,"Highwood","Lake County"
"60021",5199,"Fox River Grove","McHenry County"
"62363",5195,"Pittsfield","Pike County"
"61016",5185,"Cherry Valley","Winnebago County"
"62201",5166,"East Saint Louis","St. Clair County"
"61231",5158,"Aledo","Mercer County"
"62263",5109,"Nashville","Washington County"
"62561",5107,"Riverton","Sangamon County"
"60195",5018,"Schaumburg","Cook County"
"62353",5006,"Mount Sterling","Brown County"
"60461",4988,"Olympia Fields","Cook County"
"61910",4947,"Arcola","Douglas County"
"60964",4887,"Saint Anne","Kankakee County"
"60551",4850,"Sheridan","LaSalle County"
"60472",4812,"Robbins","Cook County"
"60112",4783,"Cortland","DeKalb County"
"60420",4746,"Dwight","Livingston County"
"61610",4695,"Creve Coeur","Tazewell County"
"62644",4690,"Havana","Mason County"
